"LOA DATE",PRODUCT,MODEL,"PRIMARY VIOLATION",CITATION,"ACTION REQUESTED",FIRM,"ADDRESS 1","ADDRESS 2","FOREIGN MFG","LOT SIZE",COUNTRY
"March 2017","PLAY YARD TENT 3 PIECE SET",,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","L & Z LINE, INC","520 RANDOLPH ST","SAN FRANCISCO, CA 94132","LINEHAUL EXPRESS(SHENZHEN) LTD",140,CHINA
"March 2017","LARGE STUFFED ANIMAL",X0019U1H5X,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","IBC INTERNATIONAL BONDED COURIERS","147-29 182ND ST","JAMAICA, NY 11413","CHU SHENG",35,CHINA
"March 2017","SPIKY BALL",19,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","ONE TOP IMPORT INC","1611 CORDOVA ST, BLDG B","LOS ANGELES, CA 90007","JIN HAO TRADING CO",5760,CHINA
"March 2017","FRICTION TRUCK","BF 106924 311-8","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","MTT TRADING IN.","607 E. 6TH STREET","LOS ANGELES, CA 90021","JINMING TOYS & CRAFTS I/E CO LTD",144,CHINA
"March 2017","B/O DOG",5171,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","MTT TRADING IN.","607 E. 6TH STREET","LOS ANGELES, CA 90021","JINMING TOYS &CRAFTS I/E CO.LTD",536,CHINA
"March 2017","B/O DOG",6001,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","T CENTER TRADING INC","330 WALL ST UNIT 7","LOS ANGELES, CA 90013","JIA SUN TRADING CO",120,CHINA
"March 2017","PUPPY RACER",WP1021,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","WONDER TECH USA, INC.","6726 215TH ST","OAKLAND GARDENS, NEW YORK 1136","JIYONG PLASTIC TOYS FACTORY",2400,CHINA
"March 2017","CHILDRENS BACKPACKS",JV-4066,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","SHALAM IMPORTS INC","4013 13TH AVENUE","BROOKLYN, NY 11218","MARKET UNION CO. LTD.",4800,CHINA
"March 2017","GIRL'S PINK/WHITE PONY CARDIGA",HKH6,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production",ZULILY,"2601 ELLIOTT AVE STE 200","SEATTLE, WA 98121","LEONING CHENG DA",5,CHINA
"March 2017","GIRL'S GREEN/IVORY W/DEER CARD",HKWC6,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production",ZULILY,"2601 ELLIOTT AVE STE 200","SEATTLE, WA 98121","DOPNGGUAN YFZ APPAREL LTD",4,CHINA
